Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;12:00 - 12:30;Réserve rapide;A la baisse;226;64,9
06/12/2016;12:00 - 12:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;12:00 - 12:30;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;12:30 - 13:00;Réserve primaire;A la hausse;0;65,6
06/12/2016;12:30 - 13:00;Réserve primaire;A la baisse;18;65,6
06/12/2016;12:30 - 13:00;Réserve secondaire;A la hausse;0;65,6
06/12/2016;12:30 - 13:00;Réserve secondaire;A la baisse;153;65,6
06/12/2016;12:30 - 13:00;Réserve rapide;A la hausse;0;0
06/12/2016;12:30 - 13:00;Réserve rapide;A la baisse;355;64,8
06/12/2016;12:30 - 13:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;12:30 - 13:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;13:00 - 13:30;Réserve primaire;A la hausse;17;65,4
06/12/2016;13:00 - 13:30;Réserve primaire;A la baisse;0;65,4
06/12/2016;13:00 - 13:30;Réserve secondaire;A la hausse;0;65,4
06/12/2016;13:00 - 13:30;Réserve secondaire;A la baisse;8;65,4
06/12/2016;13:00 - 13:30;Réserve rapide;A la hausse;0;0
06/12/2016;13:00 - 13:30;Réserve rapide;A la baisse;847;61,9
06/12/2016;13:00 - 13:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;13:00 - 13:30;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;13:30 - 14:00;Réserve primaire;A la hausse;1;65,4
06/12/2016;13:30 - 14:00;Réserve primaire;A la baisse;0;65,4
06/12/2016;13:30 - 14:00;Réserve secondaire;A la hausse;0;65,4
06/12/2016;13:30 - 14:00;Réserve secondaire;A la baisse;82;65,4
06/12/2016;13:30 - 14:00;Réserve rapide;A la hausse;0;0
06/12/2016;13:30 - 14:00;Réserve rapide;A la baisse;518;60,6
06/12/2016;13:30 - 14:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;13:30 - 14:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;14:00 - 14:30;Réserve primaire;A la hausse;28;66,1
06/12/2016;14:00 - 14:30;Réserve primaire;A la baisse;0;66,1
06/12/2016;14:00 - 14:30;Réserve secondaire;A la hausse;283;66,1
06/12/2016;14:00 - 14:30;Réserve secondaire;A la baisse;0;66,1
